18:43:43.743498 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:43:48.750319 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:43:53.755565 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is dropped
18:43:58.766484 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is dropped
18:44:03.770873 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:44:08.777435 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:44:13.782258 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:44:18.789787 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:44:23.797068 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is dropped
18:44:28.800193 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is dropped
18:44:33.805917 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:44:38.812749 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:44:43.818822 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is dropped
18:44:48.821158 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:44:53.824723 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:44:58.828273 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:45:03.835152 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:45:08.840246 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:45:13.843761 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is delivered
18:45:18.846271 [queue=0] packet #0, 127.0.0.1:58664 -> 127.0.0.1:8007, sz=0 is dropped
18:51:59.702926 config: drop-rate=0.00, max-delay=0s, seed=1638316319702800000
18:51:59.704938 router is listening at :3000
18:52:38.810779 config: drop-rate=0.20, max-delay=2ms, seed=1
18:52:38.811155 router is listening at :3000
18:54:48.653038 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 1.74ms
18:54:48.662508 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:52110, sz=0 is delayed for 1.18ms
18:54:48.663660 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:54:48.664116 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:52110, sz=0 is delivered
18:54:48.664701 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 360µs
18:54:48.665257 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=156 is dropped
18:54:48.665781 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:54:53.671801 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is dropped
18:54:58.676079 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is dropped
18:55:03.680173 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 1.88ms
18:55:03.682488 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:55:08.686075 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 1.24ms
18:55:08.688161 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:55:13.690425 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 560µs
18:55:13.691499 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:55:18.692699 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 220µs
18:55:18.693525 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:55:23.698752 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 740µs
18:55:23.699755 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:55:28.703230 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 1.9ms
18:55:28.705836 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:55:33.709877 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 560µs
18:55:33.710954 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:55:38.712709 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 940µs
18:55:38.714100 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:55:43.716932 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 1.74ms
18:55:43.724203 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:55:48.724830 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 1.8ms
18:55:48.727762 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:55:53.728521 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 820µs
18:55:53.729866 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:55:58.778277 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is dropped
18:56:03.779219 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is dropped
18:56:08.784418 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 580µs
18:56:08.785459 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:56:13.789523 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is dropped
18:56:18.792949 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 620µs
18:56:18.794433 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:56:23.797533 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 520µs
18:56:23.798585 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:56:28.803770 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is dropped
18:56:33.809743 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 1.88ms
18:56:33.811920 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:56:38.817925 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 660µs
18:56:38.819002 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:56:43.822789 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 1.56ms
18:56:43.824995 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:56:48.828994 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 1.18ms
18:56:48.831045 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:56:53.835445 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 1.14ms
18:56:53.837408 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:56:58.842572 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 1.78ms
18:56:58.844985 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:57:03.845657 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is dropped
18:57:08.853185 [queue=1] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delayed for 100µs
18:57:08.853621 [queue=0] packet #0, 127.0.0.1:52110 -> 127.0.0.1:8007, sz=0 is delivered
18:57:33.312888 config: drop-rate=0.20, max-delay=2ms, seed=1
18:57:33.314828 router is listening at :3000
18:58:59.161956 [queue=1] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delayed for 1.74ms
18:58:59.164507 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delivered
18:58:59.164821 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:49624, sz=0 is delayed for 1.18ms
18:58:59.166291 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:49624, sz=0 is delivered
18:58:59.166883 [queue=1] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delayed for 360µs
18:58:59.167360 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=70 is dropped
18:58:59.167385 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delivered
18:59:04.172098 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is dropped
18:59:09.178958 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is dropped
18:59:14.184738 [queue=1] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delayed for 1.88ms
18:59:14.187650 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delivered
18:59:19.192255 [queue=1] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delayed for 1.24ms
18:59:19.194410 [queue=0] packet #0, 127.0.0.1:49624 -> 127.0.0.1:8007, sz=0 is delivered
